4/24/11		69	172	199	136	Bristol 2nd	
5/1/11		294	190		125	Bristol 2nd	
5/8/11		30	181	52	288	Bristol 2nd	
5/15/11		10	196	259	249	Bristol 2nd	
5/22/11		219	175	223	228	Bristol 2nd	
6/5/11		294	185		96	Bristol 2nd	
6/12/11		19	194	263	224	Bristol 2nd	
6/19/11		292	177	89	31	Bristol 2nd	
6/26/11		62	184	220	117	Bristol 2nd	
7/3/11		266	182		136	Bristol 2nd	
7/10/11		134	174	117	116	Bristol 2nd	
7/17/11		81	169	219	113	Bristol 2nd	
7/24/11		108	191	58	89	Bristol 2nd	
7/31/11		147	180	280	153	Bristol 2nd	
8/7/11		237	187		111	Bristol 2nd	
8/14/11		107	170	232	156	Bristol 2nd	
8/21/11		140	192	97	21	Bristol 2nd	
8/28/11		284	195	302	271	Bristol 2nd	
9/4/11		144	193		86	Bristol 2nd	
9/11/11		288	172	100	98	Bristol 2nd	
9/18/11		274	190	308	44	Bristol 2nd	
9/25/11		102	181	67	141	Bristol 2nd	
10/9/11		228	196		163	Bristol 2nd	
10/16/11		304	175		307	Bristol 2nd	
10/23/11		241	185	92	157	Bristol 2nd	
5/10/09		298	176	277	271	Bristol 2nd	
5/17/09		254	192	67	249	Bristol 2nd	
5/24/09		140	196	130	163	Bristol 2nd	
5/31/09		113	172	237	31	Bristol 2nd	
6/14/09		86	185		152	Bristol 2nd	
6/21/09		304	170	300	292	Bristol 2nd	
6/28/09		117	196	266	140	Bristol 2nd	
7/5/09		227	177		95	Bristol 2nd	
7/12/09		94	194	270	226	Bristol 2nd	
7/19/09		277	180	21	143	Bristol 2nd	
7/26/09		30	184	78	255	Bristol 2nd	
8/2/09		243	182		94	Bristol 2nd	
8/9/09		226	193	134	87	Bristol 2nd	
8/16/09		92	195	300	292	Bristol 2nd	
8/23/09		125	187	224	145	Bristol 2nd	
8/30/09		136	175	219	89	Bristol 2nd	
9/6/09		266	181		86	Bristol 2nd	
9/13/09		239	190	307	237	Bristol 2nd	
9/20/09		129	169	288	220	Bristol 2nd	
9/27/09		216	191	84	263	Bristol 2nd	
10/11/09		220	174		83	Bristol 2nd	
10/18/09		8	177	300	52	Bristol 2nd	
10/25/09		288	191			Bristol 2nd	
11/1/09		292	196		152	Bristol 2nd	
11/8/09		31	172	113	166	Bristol 2nd	
11/15/09		223	185	239	130	Bristol 2nd	
11/22/09		19	170	226	254	Bristol 2nd	
11/29/09		52	177	27	2	Bristol 2nd	
12/6/09		213	194		205	Bristol 2nd	
12/20/09		211	180	206	201	Bristol 2nd	
12/27/09		202	184	210	203	Bristol 2nd	
1/3/10		227	169		157	Bristol 2nd	
1/10/10		140	191	200	266	Bristol 2nd	
1/17/10		96	180	302	143	Bristol 2nd	
1/24/10		250	187	30	270	Bristol 2nd	
1/31/10		124	170	85	163	Bristol 2nd	
2/7/10		292	192		158	Bristol 2nd	
2/14/10		7	195	46	44	Bristol 2nd	
2/21/10		147	193	125	153	Bristol 2nd	
2/28/10		247	172	52	288	Bristol 2nd	
3/7/10		116	190		46	Bristol 2nd	
3/14/10		298	181	304	294	Bristol 2nd	
3/21/10		246	196	95	251	Bristol 2nd	
3/28/10		69	175	199	200	Bristol 2nd	
4/11/10		243	185		156	Bristol 2nd	
4/18/10		274	194	108	31	Bristol 2nd	
4/25/10		111	177	136	89	Bristol 2nd	
5/2/10		226	184		134	Bristol 2nd	
5/9/10		271	182	21	277	Bristol 2nd	
5/16/10		219	174	259	249	Bristol 2nd	
5/30/10		223	169	82	219	Bristol 2nd	
6/6/10		227	191		165 Bristol 2 Ward	Bristol 2nd	
6/13/10		106	180	216	124	Bristol 2nd	
6/20/10		286	187	300	292	Bristol 2nd	
6/27/10		224	170	117	125	Bristol 2nd	
7/4/10		232	192		66	Bristol 2nd	
7/11/10		40	195	251	249	Bristol 2nd	
7/18/10		30	193	29	152	Bristol 2nd	
7/25/10		229	172	3	277	Bristol 2nd	
8/1/10		136	190		9	Bristol 2nd	
8/8/10		130	181	142	298	Bristol 2nd	
8/15/10		27	196	219	30	Bristol 2nd	
8/22/10		69	175	136	166	Bristol 2nd	
8/29/10		40	185	224	249	Bristol 2nd	
9/5/10		280	194		163	Bristol 2nd	
9/12/10		225	195	117	40	Bristol 2nd	
9/19/10			184			Bristol 2nd	
9/26/10		52	182	5	288	Bristol 2nd	
10/10/10		41	174		156	Bristol 2nd	
10/17/10		251	180	308	319	Bristol 2nd	
10/24/10		298	187	300	85	Bristol 2nd	
1/2/11		201	175		217	Bristol 2nd	
1/9/11		136	185	60	2	Bristol 2nd	
1/16/11		52	194	300	288	Bristol 2nd	
1/23/11		111	177	124	85	Bristol 2nd	
1/30/11		219	193		220	Bristol 2nd	
2/6/11		307	184		87	Bristol 2nd	
2/13/11		251	182	263	270	Bristol 2nd	
2/20/11		21	174	239	19	Bristol 2nd	
2/27/11		243	169	266	134	Bristol 2nd	
3/6/11		113	191		246	Bristol 2nd	
3/13/11		237	180	10	143	Bristol 2nd	
3/20/11		241	187	94	153	Bristol 2nd	
3/27/11			170			Bristol 2nd	
4/10/11		223	192		147	Bristol 2nd	
4/17/11		129	195	89	66	Bristol 2nd	
4/24/11		69	172	199	136	Bristol 2nd	
5/1/11		294	190		125	Bristol 2nd	
5/8/11		30	181	52	288	Bristol 2nd	
5/15/11		10	196	259	249	Bristol 2nd	
5/22/11		219	175	223	228	Bristol 2nd	
6/5/11		294	185		96	Bristol 2nd	
6/12/11		19	194	263	224	Bristol 2nd	
6/19/11		292	177	89	31	Bristol 2nd	
6/26/11		62	184	220	117	Bristol 2nd	
7/3/11		266	182		136	Bristol 2nd	
7/10/11		134	174	117	116	Bristol 2nd	
7/17/11		81	169	219	113	Bristol 2nd	
7/24/11		108	191	58	89	Bristol 2nd	
7/31/11		147	180	280	15	Bristol 2nd	
8/7/11		237	187		111	Bristol 2nd	
8/14/11		107	170	232	156	Bristol 2nd	
8/21/11		140	192	97	21	Bristol 2nd	
8/28/11		284	195	302	271	Bristol 2nd	
9/4/11		144	193		86	Bristol 2nd	
9/11/11		288	172	100	98	Bristol 2nd	
9/18/11		274	190	308	44	Bristol 2nd	
9/25/11		102	181	67	141	Bristol 2nd	
10/9/11		228	196		163	Bristol 2nd	
10/16/11		304	175		307	Bristol 2nd	
10/23/11		241	185	92	157	Bristol 2nd	
10/30/11		239	194	252	277	Bristol 2nd	
11/6/11		292	177		166	Bristol 2nd	
11/13/11		2	184	241	95	Bristol 2nd	
11/20/11		130	182	280	147	Bristol 2nd	
12/4/11		201	174		214	Bristol 2nd	
12/11/11		202	169	213	203	Bristol 2nd	
12/18/11		212	191	210	211	Bristol 2nd	
12/25/11		204	180	206	209	Bristol 2nd	
1/1/12		207	187	205	217	Bristol 2nd	
1/8/12		266	170		152	Bristol 2nd	
1/15/12		1	192	83	44	Bristol 2nd	
1/22/12		26	195	145	143	Bristol 2nd	
1/29/12		224	172	86	136	Bristol 2nd	
2/5/12		271	190		87	Bristol 2nd	
2/12/12		140	181	250	89	Bristol 2nd	
2/19/12		226	196	131	163	Bristol 2nd	
2/26/12		108	175	67	241	Bristol 2nd	
3/4/12		227	185		59	Bristol 2nd	
3/11/12		221	194	113	98	Bristol 2nd	
3/18/12		298	177	304	130	Bristol 2nd	
3/25/12		239	184		153	Bristol 2nd	
4/8/12		199	182	200	136	Bristol 2nd	
4/15/12		5	174	300	52	Bristol 2nd	
4/22/12		10	169	223	27	Bristol 2nd	
4/29/12		21	191	271	19	Bristol 2nd	
5/6/12		255	180		117	Bristol 2nd	
5/13/12		254	187	249	219	Bristol 2nd	
5/27/12		52	170	300	288	Bristol 2nd	
6/3/12		263	192		108	Bristol 2nd	
6/10/12		134	195	89	302	Bristol 2nd	
6/17/12		294	172	92	292	Bristol 2nd	
6/24/12		26	181	27	19	Bristol 2nd	
7/1/12		250	190		103	Bristol 2nd	
7/8/12		144	175	85	251	Bristol 2nd	
7/15/12		284	185	117	163	Bristol 2nd	
7/22/12		266	194	62	109	Bristol 2nd	
7/29/12		288	177	5	300	Bristol 2nd	
8/5/12		220	174		92	Bristol 2nd	
8/12/12		89	182	136	165	Bristol 2nd	
8/19/12		239	184	96	303	Bristol 2nd	
8/26/12		30	169	134	241	Bristol 2nd	
9/2/12		270	191		106	Bristol 2nd	
9/9/12		158	180	219	62	Bristol 2nd	
9/16/12		250	196	264	152	Bristol 2nd	
9/23/12		243	187	124	249	Bristol 2nd	
9/30/12		263	170		111	Bristol 2nd	
10/14/12		133	192	292	301	Bristol 2nd	
10/21/12		136	195	109	59	Bristol 2nd	
10/28/12		21	172	277	163	Bristol 2nd	
11/4/12		294	190		2	Bristol 2nd	
11/11/12		246	181		129	Bristol 2nd	
11/18/12		307	196	239	96	Bristol 2nd	
12/2/12		210	175		203	Bristol 2nd	
12/9/12		211	185	206	213	Bristol 2nd	
12/16/12		212	194	204	209	Bristol 2nd	
12/23/12		205	177	214	208	Bristol 2nd	
12/30/12		207	184	202	201	Bristol 2nd	
1/6/13		217	182		156	Bristol 2nd	
1/13/13		255	174	249	72	Bristol 2nd	
1/20/13		243	169	136	157	Bristol 2nd	
1/27/13		140	191	62	89	Bristol 2nd	
2/3/13		133	180		83	Bristol 2nd	
2/10/13		266	187	224	243	Bristol 2nd	
2/17/13		142	170	89	131	Bristol 2nd	
2/24/13		5	192	30	109	Bristol 2nd	
3/3/13		216	195		136	Bristol 2nd	
3/10/13		300	193	298	294	Bristol 2nd	
3/17/13		280	172	59	163	Bristol 2nd	
3/24/13		6	190	232	66	Bristol 2nd	
3/31/13		199	181	69	200	Bristol 2nd	
4/14/13		249	196		143	Bristol 2nd	
4/21/13		226	175	277	224	Bristol 2nd	
4/28/13		247	185	52	288	Bristol 2nd	
5/5/13		144	194		87	Bristol 2nd	
5/12/13		81	177	140	163	Bristol 2nd	
5/26/13		280	184	124	89	Bristol 2nd	
6/2/13		298	182		92	Bristol 2nd	
6/9/13		227	174	2	108	Bristol 2nd	
6/16/13		284	169	60	300	Bristol 2nd	
6/23/13		136	191	78	109	Bristol 2nd	
6/30/13		228	193	85	226	Bristol 2nd	
7/7/13		237	180		86	Bristol 2nd	
7/14/13		117	187	223	1	Bristol 2nd	
7/21/13		141	170	3	103	Bristol 2nd	
7/28/13		106	192	5	58	Bristol 2nd	
8/4/13		249	195		113	Bristol 2nd	
8/11/13		302	172	81	153	Bristol 2nd	
8/18/13		30	190	136	129	Bristol 2nd	
8/25/13		228	181	219	223	Bristol 2nd	
9/1/13		6	196		156	Bristol 2nd	
9/8/13		254	175	274	81	Bristol 2nd	
9/15/13		147	185	225	249	Bristol 2nd	
9/22/13		219	194	223	230	Bristol 2nd	
9/29/13		263	177	243	130	Bristol 2nd	
10/13/13		292	184		288	Bristol 2nd	
10/20/13		277	182		19	Bristol 2nd	
10/27/13		84	174	250	163	Bristol 2nd	
11/3/13		143	169		31	Bristol 2nd	
11/10/13		96	191	303	166	Bristol 2nd	
11/17/13		227	180	9	136	Bristol 2nd	
12/1/13		207	187		203	Bristol 2nd	
12/8/13		211	170	212	213	Bristol 2nd	
12/15/13		206	192	209	205	Bristol 2nd	
12/22/13			195			Bristol 2nd	
12/29/13		202	193	204	210	Bristol 2nd	
1/5/14		214	172		217	Bristol 2nd	
1/12/14		89	190	65	109	Bristol 2nd	
1/19/14		113	181	87	308	Bristol 2nd	
1/26/14		2	196	143	134	Bristol 2nd	
2/2/14		224	175		59	Bristol 2nd	
2/9/14		108	185	111	65	Bristol 2nd	
2/16/14		26	194	130	142	Bristol 2nd	
2/23/14		304	177	237	239	Bristol 2nd	
3/2/14		259	184		58	Bristol 2nd	
3/9/14		117	182	85	220	Bristol 2nd	
3/16/14		280	174	271	277	Bristol 2nd	
3/23/14		62	169	129	86	Bristol 2nd	
3/30/14		304	191	298	294	Bristol 2nd	
4/13/14		232	180		72	Bristol 2nd	
4/20/14		141	187	199	136	Bristol 2nd	
4/27/14		219	170	10	264	Bristol 2nd	
5/4/14		228	192		21	Bristol 2nd	
5/11/14		52	195	5	288	Bristol 2nd	
5/25/14		7	193	255	249	Bristol 2nd	
6/1/14		274	172		66	Bristol 2nd	
6/8/14		92	190	220	89	Bristol 2nd	
6/15/14		280	181	300	298	Bristol 2nd	
6/22/14		26	196	27	19	Bristol 2nd	
1/6/13		66	189		95	Holt	
1/13/13		123	190	130	279	Holt	
1/20/13		221	191	281	218	Holt	
1/27/13		237	192	musical number	220	Holt	
2/3/13		294	172		141	Holt	
2/10/13		81	194	140	246	Holt	
2/17/13		143	195	musical number	2	Holt	
2/24/13		193	169	136	85	Holt	
3/3/13		71	170		151	Holt	
3/10/13		86	171	300	87	Holt	
3/17/13		130	172	musical number	303	Holt	
3/24/13		198	173	musical number	98	Holt	
3/31/13		200	174		199	Holt	
4/14/13		124	175	129	122	Holt	
3/21/13		112	176	131	158	Holt	
3/28/13		223	178	114	254	Holt	
5/5/13		193	177		136	Holt	
5/12/13		194	179	musical number (primary)	186	Holt	
5/19/13		291	180	musical number	5	Holt	
5/26/13		301	181	304	305	Holt	
6/2/13		227	182		47	Holt	
6/9/13		45	183	270	125	Holt	
6/16/13		239	184	musical number (primary)	255	Holt	
6/23/13		134	185	musical number	17	Holt	
6/30/13		277	186	83	274	Holt	
7/7/13		116	187		64	Holt	
7/14/13		3	188	musical number	293	Holt	
7/21/13		125	189	130	242	Holt	
7/28/13		260	190	251	256	Holt	
8/4/13		6	191		138	Holt	
8/11/13		29	192	musical number	223	Holt	
8/18/13		220	194	musical number	218	Holt	
8/25/13		271	195	277	13	Holt	
9/1/13		10	169		2	Holt	
9/8/13		5	8		253	Holt	
9/15/13	stake conference					Holt	
